super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
30955,ASA Institute Of Business & Computer Technology,Northeast,NY,New York,19400,New York,36047,Kings,11201,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1961.1664,3643.2109,0,0,0,12298,,-.15965472,.59212881,4377.124,,,,22011,,26400,,12291059,1417345,.11801676,.081703909,.073324025,.071229048,-.47111008,5.8353925,11.425576,0,0,90.622505,3.7020237,0
3537,Abilene Christian University,South,TX,Texas,32501,Abilene,48441,Taylor,79699,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4572.1567,7045.5659,0,0,0,29450,10910,-3.3471651,.54454345,5508.3223,48039.758,1076.1248,1100,20836,1.6102501,40200,,30223040,20684050,.007326873,.05766958,.05672418,.039943274,9.7466011,22.587957,5.0599203,9.7203732,8.7882824,10.882418,34.014996,.13315579
1541,Abraham Baldwin Agricultural College,South,GA,Georgia,8503,Valdosta,13277,Tift,31793,Nonselective four-year public,Nonselective four-year public,Public,Four-year,Public,Missing,3533.4463,3300.9163,0,0,0,3394,1664,,.22714286,4745.7842,43470.074,925.03351,,7887,.21770215,31900,1594.4452,9604920,9627084,.0049429657,.15703422,.016730038,.013688213,-3.1231713,.8344062,12.072893,47.152618,6.3781323,19.324314,.060252391,.68337131
7531,Academy Of Art University,West,CA,California,37800,San Francisco,6075,San Francisco,94105,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,2569.2778,5038.6304,0,0,0,19740,15090,.025032697,.3224299,7064.1577,50651.371,,,28224,,36100,,87856928,17809356,.15640348,.023989422,.20589346,.27181715,96.97477,4.5828028,0,0,0,2.5141704,6.5806594,0
1345,Adams State University,West,CO,Colorado,34805,Alamosa,8003,Alamosa,81101,Selective public,Selective public,Public,Four-year,Public,Selective,1036.9449,5937.7222,0,0,0,8014,2186,2.5132792,.32332563,5986.8115,44087.602,985.38293,,14705,-2.2479944,33200,1028.1558,18314568,8925393,.0125,.035096154,.27548078,.0024038462,11.228055,22.513277,0,33.431084,0,12.587295,17.570986,0
2666,Adelphi University,Northeast,NY,New York,19400,New York,36059,Nassau,11530,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,6283.9482,10503.799,0,0,0,32340,15690,2.9288657,.48734176,11314.719,55523.098,1111.3917,1065,20512,.88142663,50600,,78979320,30597666,.029686997,.1226202,.067118429,.040980961,10.547416,29.16498,13.963964,3.6036036,8.5585585,9.4407692,31.458614,0
2860,Adirondack Community College - SUNY Office Of Community Colleges,Northeast,NY,New York,18600,Albany,36113,Warren,12804,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2475.7666,3462.8694,0,0,0,4302,2503,-1.117723,.33164129,6389.8452,47857.82,,,2810,,32300,,13593025,8229181,.0066645509,.0082513485,.0092034275,.0028562362,-1.5379332,13.591565,12.606837,50,7.4786325,7.1497102,2.8795745,.21367522
2234,Adrian College,Midwest,MI,Michigan,11500,Jackson,26091,Lenawee,49221,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,5017.7095,6379.3086,0,0,0,32660,14250,.079359196,.45637584,7454.6748,40353.363,990.68475,,15774,1.8055371,36500,,10441712,4995231,.0037002775,.067530066,.017576318,.019426458,19.433414,33.219681,.61349696,12.269938,5.5214725,16.61775,17.650539,0
11484,Advanced Institute Of Hair Design,Midwest,WI,Wisconsin,24100,Milwaukee,55079,Milwaukee,53228,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1695.1045,2501.4915,0,0,0,,,6.4236326,.82147563,,,,,10707.964,,22000,,307487.03,112103.5,.0090909088,.071753249,.036201298,0,-1.0520843,.3182936,0,0,0,-4.4615273,2.1819959,100
31275,Advanced Technology Institute,South,VA,Virginia,2000,Virginia Beach,51810,Virginia Beach City,23462,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,3841.7444,8173.1602,0,0,0,13255,6942,.71111703,,3813.6826,,,,18350,-1.8060699,35300,,6635811,1168395,.043956045,.26373628,.021978023,0,-3.1589885,-.57486892,0,0,0,14.157399,1.6488352,84.836067
31155,Adventist University Of Health Sciences,South,FL,Florida,7400,Orlando,12095,Orange,32803,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Non-selective,4818.9297,5351.1694,0,0,0,12430,4400,-1.5323203,.40000001,6540.0068,43302.938,923.86255,,18425,1.0623749,51100,,14249990,2834987.5,.084337346,.13769363,.17728055,0,4.3188534,.94734412,100,0,0,1.8045496,-.74103349,0
1542,Agnes Scott College,South,GA,Georgia,9100,Atlanta,13089,DeKalb,30030,Highly selective private,Highly selective private,Private Non-profit,Four-year,Private,Highly Selective,12332.85,10864.47,0,0,0,35982,16745,1.3837527,.7186147,8381.2578,56078.148,,1185,16756,-.99432969,39400,,10964269,8561280,.049327355,.19282511,.036995515,.053811658,34.833557,4.3222752,0,10.144928,0,15.264087,40.998547,0
10056,Aiken Technical College,South,SC,South Carolina,8401,Aiken,45003,Aiken,29829,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2474.8611,3312.2898,0,0,0,4132,1225,-.40586877,.083333336,5491.9004,41781.684,,,5315,,25300,,10213030,5916983,.0088183424,.35493827,.0097001763,0,-.45330042,36.441963,8.5158148,9.7323599,11.922141,23.194265,.22217716,9.2457418
7582,Aims Community College,West,CO,Colorado,28800,Fort Collins,8123,Weld,80632,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2045.9088,4250.6943,0,0,0,2756,1728,-.4030644,.30666667,6077.8198,39318.113,,,7958,,31700,8.5959454,21280228,13727595,.014680483,.015400115,.19847438,0,.71614915,15.498286,27.977045,37.733143,7.4605451,6.5186739,1.1734143,6.5997128
1002,Alabama Agricultural & Mechanical University,South,AL,Alabama,6000,Huntsville,1089,Madison,35762,Selective public,Selective public,Public,Four-year,Public,Selective,2719.405,6233.3208,0,1,0,9096,2800,-2.1678066,.38826814,7079.7788,44950.902,834.26337,,12683,-1.1997217,31400,,34854016,17077456,.0029680366,.90547943,.0027397261,.038812786,-3.7116766,20.092047,0,0,4.4036698,37.638008,34.990856,0
1034,Alabama Southern Community College,South,AL,Alabama,11002,Atmore,1099,Monroe,36460,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3394.5,5085.4438,0,0,0,4260,1680,-.96366036,.22871046,5870.7681,44485.211,,,4737,,23200,446.33707,6497806,4160829,.0039651073,.36399683,.0023790642,0,2.7543843,24.962307,26.937269,19.926199,0,15.079735,1.4231055,15.867159
1005,Alabama State University,South,AL,Alabama,11101,Montgomery,1101,Montgomery,36104,Selective public,Selective public,Public,Four-year,Public,Selective,3127.5137,6023.6943,0,1,0,8720,2520,1.3199848,.20712277,6550.2407,45691.523,858.47162,800,12342,1.1876804,27800,3411.8689,36531692,20618396,.0018399263,.91720331,.0027598897,.0029898805,3.6796575,11.553053,.19569471,2.5440314,14.285714,15.064981,46.154263,0
5463,Alamance Community College,South,NC,North Carolina,500,Greensboro,37001,Alamance,27253,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2768.1563,3423.1147,0,0,0,2175,910,-.66745555,.37962964,6255.3721,39541.281,,,10155,,26500,426.0704,15874912,7742593,.011130638,.19390744,.016110135,.0055653192,.34460384,31.305611,14.565483,17.62546,1.4687883,23.008131,-.56769681,8.5679312
37,Alamo Community College District,South,TX,Texas,31301,San Antonio,48029,Bexar,78212,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2163.4626,2383.0916,1,0,0,5550,1696.7754,-.28767279,.040340908,6147.6807,49070.723,,,3724.7588,,30986.586,647.36975,145992288,81575392,.024150413,.07239721,.51685667,.0064563183,-.23778735,14.57538,28.030304,20.454546,4.971591,13.892519,6.6612267,12.026515
2885,Albany College Of Pharmacy And Health Sciences,Northeast,NY,New York,18600,Albany,36001,Albany,12208,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Non-selective,5712.1875,10642.325,0,0,0,30131,12873,3.8871472,.98901099,8527.3389,55644.082,1164.5045,,25442,.68883866,110600,,17646510,3225413,.092943199,.029259896,.018932875,.020654045,-2.3931701,-5.7806692,100,0,0,6.5927939,3.2706187,0
1544,Albany State University,South,GA,Georgia,10200,Albany,13095,Dougherty,31705,Selective public,Selective public,Public,Four-year,Public,Selective,4637.8223,5393.4482,0,1,0,5192,2398,-1.7139356,.25570777,5601.2432,45164.082,880.35083,900,12026,-2.0231712,32700,27.64724,23734100,18643068,.00063918188,.9533397,.0035155001,.0035155001,-1.4126891,14.608934,22.289156,0,16.26506,10.17276,36.534451,0
5601,Albany Technical College,South,GA,Georgia,10200,Albany,13095,Dougherty,31701,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,4066.3179,3194.0039,0,0,0,4746,987,-1.6215023,.4299517,4413.1079,57301.559,,,186,,22000,,11578255,7475015,.0045008184,.65711945,.0061374796,0,-1.608124,25.666481,17.169811,0,.3773585,1.3641716,-.95095503,56.037735
1374,Albertus Magnus College,Northeast,CT,Connecticut,20901,Bridgeport,9009,New Haven,6511,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2578.0173,4813.9473,0,0,0,28930,14778,-2.4432569,.56962025,7601.2695,45315.066,,1010,21573,-2.2668033,52200,,8356542,5225563,.0094919037,.18816304,.074818537,.0044667781,-1.8135012,73.95401,0,8.8729019,.95923263,.82592529,16.334084,0
2235,Albion College,Midwest,MI,Michigan,12100,Kalamazoo,26025,Calhoun,49224,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,8856.2666,11020.821,0,0,0,37300,18892,-2.4634724,.68360275,6972.7358,53800.902,1130.0959,1150,18614,.11417254,45100,,18761022,14066805,.021639343,.021639343,.0072131148,.0065573771,27.920216,2.4266284,0,.3144654,.3144654,23.692089,52.14362,0
3229,Albright College,Northeast,PA,Pennsylvania,19100,Reading,42011,Berks,19612,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,5520.8008,9060.373,0,0,0,38220,20310,5.6038046,.66949153,6335.6768,47580.109,,1015,19711,1.8319153,48500,,20909064,9267086,.023726853,.068865739,.027777778,.046875,.21960044,35.516891,0,6.25,0,15.654858,37.196365,0
2396,Alcorn State University,South,MS,Mississippi,3203,Vicksburg,28021,Claiborne,39096,Selective public,Selective public,Public,Four-year,Public,Selective,6460.4185,5693.2734,0,1,0,6200,2785,-1.4672365,.46601942,6432.6836,44600.957,891.0191,,13419,4.4772439,30600,65.259132,18411452,18762156,.00041701418,.94120097,.00041701418,.0095913261,3.1215909,13.135238,12.184874,18.277311,2.3109243,30.426651,21.895292,0
3806,Alderson Broaddus University,South,WV,West Virginia,16701,Elkins,54001,Barbour,26416,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,6161.0205,6946.1465,0,0,0,22740,13890,.52304482,.43269232,4919.5029,35474.887,961.51923,985,13431,.58038282,43400,,5641693,4039514.8,.031746034,.038961038,.0086580086,.0086580086,1.8769754,5.5368576,53.19149,2.8368795,0,22.885502,10.352012,0
2668,Alfred University,Northeast,NY,New York,18201,Olean,36003,Allegany,14802,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,15467.13,9389.917,0,0,0,26106,19158,-3.5467,.65454543,6408.7734,54845.219,1055.9835,1074,11715,-3.562134,42300,,22682892,22225504,.012490815,.05143277,.040411461,.020573108,7.6235647,28.813292,.69444442,4.8611112,3.8194444,18.412113,39.389107,0
34933,All-State Career,South,MD,Maryland,11302,Baltimore,24510,Baltimore City,21224,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,1823.7393,6491.5952,0,0,0,,6062,,,,,,,14832.227,,32900,,6683211.5,452262.5,0,.60758317,.040111467,.016129032,-1.4256566,-.31316456,0,0,0,1.8439388,-.28079748,100
24955,All-State Career School,Northeast,PA,Pennsylvania,19700,Philadelphia,42045,Delaware,19029,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,4802.5322,6039.8579,0,0,0,18003,,,,4331.2036,,,,31454.92,,36800,,2414681.8,846935,.01459854,.61313868,.15328467,0,3.5437725,.65310842,0,0,0,1.1049181,.08285819,100
1111,Allan Hancock College,West,CA,California,38200,Santa Barbara,6083,Santa Barbara,93454,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1963.5984,2209.0168,0,0,0,1346,362,2.6881213,.41883117,7897.0952,58868.469,,,4884,,29500,171.56731,23577054,24717092,.048802644,.033278283,.27704376,.0016515277,-1.5183575,10.232224,19.088017,35.737011,20.572641,5.4388628,.81335014,1.9088017
2057,Allegany College Of Maryland,South,MD,Maryland,17501,Cumberland,24001,Allegany,21502,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3150.1194,3523.8962,0,0,0,6420,5180,-.52442408,.26567164,5039.5171,42751.094,,,8180,,30900,2153.2151,13427326,8049969,.0038580247,.032407407,.0088734571,0,-1.3445816,19.501057,38.797813,22.040073,3.6429873,9.4520531,2.9380054,4.5537343
3230,Allegheny College,Northeast,PA,Pennsylvania,16500,Erie,42039,Crawford,16335,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,7772.4429,10658.745,0,0,0,40660,21570,.11703441,.73040152,8106.0898,53269.57,1167.9954,1185,17619,-4.0259542,49200,,22385116,12829257,.013655462,.023109244,.011029412,.014180672,14.556649,1.4352773,0,.9661836,0,38.44458,46.095913,0
1901,Allen County Community College,Midwest,KS,Kansas,29401,Ottawa,20001,Allen,66749,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1345.7482,1943.083,0,0,0,2784,1568,.49423414,.31325302,4878.96,30737.719,,,4287,,29300,1369.9879,5532044,2787342,.0091463411,.035569105,.019308943,.008130081,8.2775068,14.426479,37.421383,18.238995,.94339621,6.0311046,18.155079,.62893081
33583,Allen School,West,AZ,Arizona,35001,Phoenix,4013,Maricopa,85053,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,,5108.6514,0,0,0,,,,,,,,,20272.945,,26900,,3619947.5,,0,.76825064,.147525,.066645421,-2.8683751,-.3054595,100,0,0,.40806606,2.6746776,0
41893,Allied American University,West,CA,California,38300,Los Angeles,6059,Orange,92653,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,,493.32819,0,0,0,,,,,2997.2507,,,,16534,,,,369563,,,,,,,,,,,,,
2236,Alma College,Midwest,MI,Michigan,11800,Mount Pleasant,26057,Gratiot,48801,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,5989.854,7603.8179,0,0,0,34585,15809,-3.2046447,.68617022,7257.0898,55584.293,1021.4285,1200,14985,-.10131586,44700,,13821379,9092487,.012065294,.015613911,.017743081,.013484741,19.04649,8.6943417,9.386282,0,0,27.698112,35.344845,0
2237,Alpena Community College,Midwest,MI,Michigan,12401,Alpena,26007,Alpena,49707,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2634.551,4120.9595,0,0,0,5880,2820,1.4893049,.23990498,8218.9053,54329.457,,,1688,,27700,209.797,8185445,5116179,.0037776579,.0053966539,.0048569888,.0026983269,.029376294,14.992151,18.006432,16.398714,9.3247595,11.872787,14.513342,15.112539
30321,Altamaha Technical College,South,GA,Georgia,8701,Hinesville,13305,Wayne,31545,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,4071.0916,4078.7051,0,0,0,,1024,-.49467242,.54625553,4093.5789,33028.094,,,4734,,21800,,6330721,4844128,.0036036037,.30810812,.02972973,0,2.3240659,17.179688,15.90106,0,0,6.6919646,.29434654,59.363956
3233,Alvernia University,Northeast,PA,Pennsylvania,19100,Reading,42011,Berks,19607,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3924.9434,4757.8135,0,0,0,30080,13200,1.6750007,.44755244,6152.501,43691.93,967.37695,930,22382,-.41578406,42600,,13447326,4762827.5,.01674808,.079553388,.03349616,.0034891835,-.058163997,30.793804,30.584192,.68728524,9.6219931,11.638317,23.233746,0
3832,Alverno College,Midwest,WI,Wisconsin,24100,Milwaukee,55079,Milwaukee,53234,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4039.1128,5071.8687,0,0,0,24434,11530,.48438776,.44,5551.8862,40948.355,,,13140,1.6510839,37400,,13021947,6529383,.021017699,.25829646,.082411505,.0055309734,6.9394379,33.970081,16.412214,1.1450381,3.0534351,6.3361483,39.545124,0
3539,Alvin Community College,South,TX,Texas,31900,Pearland,48039,Brazoria,77511,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2498.1072,3109.7122,0,0,0,2566,992,-.99986345,.12130178,6144.1748,44387.813,,,6638,,33000,,16633668,9350771,.012824011,.08376535,.17135061,.0043656207,1.1693958,23.735508,15.811089,21.971252,5.1334705,29.520157,.45693856,9.4455853
3540,Amarillo College,South,TX,Texas,30903,Amarillo,48375,Potter,79109,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2525.6882,2988.2271,0,0,0,2898,828,5.0494699,.1760841,6015.7222,42629.703,,,5234,,31300,260.54288,32665664,21651342,.034789838,.035264783,.18701021,.0042745192,2.7876813,12.207395,37.676437,8.6862106,6.7318134,23.291933,-.35262761,14.332248
31483,American Beauty Academy,South,MD,Maryland,11304,Washington DC,24031,Montgomery,20902,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,3046.875,5795.3169,0,0,0,,,,,,,,,8236,,15400,,3596197,39092,0,.68181819,.090909094,0,4.8888969,-5.2420378,0,0,0,-6.3106275,-1.3848916,100
22418,"American Career College of Los Angeles, CA",West,CA,California,38300,Los Angeles,6037,Los Angeles,90004,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1734.8796,10667.829,0,0,0,,,.079313651,,5221.8916,,,,25014.313,,29800,,17289410,2489669,.10701374,.33044106,.44757771,0,4.5523586,1.5500506,100,0,0,5.9742122,.24376987,0
39713,"American Career College of Ontario, CA",West,CA,California,38300,Los Angeles,6071,San Bernardino,91764,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,,4838.918,0,0,0,,,.46873501,,4631.3677,,,,24366,,,,6703062,,,,,,,,,,,,,
3963,American Institute Of Business,Midwest,IA,Iowa,27501,Des Moines,19153,Polk,50321,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,2054.8816,3560.124,0,0,0,15666,7209,,.54883718,4705.8018,32903.457,,,10531,1.5870868,37200,,3055619,1825324.4,.017142856,.014857143,.010285715,0,-.99347031,83.393326,0,0,0,14.560366,4.0460939,0
21136,American Intercontinental University,Midwest,IL,Illinois,24300,Chicago,17031,Cook,60173,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Selective,,1502.6603,0,0,0,11728.398,20605,.46054602,,5731.9521,45455.883,,,17288.162,,43000,,17512908,5826524.5,.038292844,.36411294,.13203038,.017985897,-.24370724,75.118668,0,0,0,22.752859,3.775878,0
2114,American International College,Northeast,MA,Massachusetts,20800,Springfield,25013,Hampden,1109,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,3911.5273,4905.959,0,0,0,30940,14004,7.8798065,.43083003,5700.4663,42118.063,876.32605,874,18044,-1.1487706,42400,,16231464,6158145,.014519056,.20871143,.055353902,.049909256,-.45046091,28.338783,32.48175,8.3941603,9.4890509,3.4324081,15.822593,0
7572,American Musical & Dramatic Academy,Northeast,NY,New York,19400,New York,36061,New York,10023,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,7925.4131,9474.8076,0,0,0,32620,14900,,.89576548,7986.6548,,,,29726,-3.131947,25300,,11196554,3692897.3,.027303753,.073378839,.059726961,.12286689,91.191177,-.59449863,0,0,0,-3.5965121,2.6156385,0
3726,American National University,South,VA,Virginia,16600,Roanoke,51775,Salem City,24153,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,1708.1804,5555.4976,0,0,0,11550,5013,-1.6874548,1,4531.7622,20299.857,,,19723.502,,22400,,8648352,2739492,.012219959,.23625255,.0057026478,.0089613032,1.8127756,49.083622,35.434784,0,0,9.9372225,-1.8180988,0
38193,American Public University System,South,WV,West Virginia,17400,Hagerstown,54037,Jefferson,25414,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,,1564.2211,0,0,0,6400,,-.8056013,,4382.5679,,,,8981,,,,75240000,,,,,,,,,,,,,
1434,American University ,South,DC,District of Columbia,11304,Washington DC,11001,District Of Columbia,20016,Highly selective private,Highly selective private,Private Non-profit,Four-year,Private,Highly Selective,7599.3208,10365.08,0,0,0,41833,21399,-.91591853,.65763324,11072.796,75492.594,1242.2698,1210,24281,5.6872463,55900,,136796992,82046040,.038940538,.069286093,.046833888,.13576566,4.8680425,16.237812,0,5.3979874,6.9533396,5.4612942,62.138359,0
2115,Amherst College,Northeast,MA,Massachusetts,20800,Springfield,25015,Hampshire,1002,Other elite schools (public and private),Other elite schools (public and private),Private Non-profit,Four-year,Private,Elite,17160.934,21714.604,0,0,0,48526,26080,1.0414879,.96181387,11690.153,89014,1447.7999,1415,1936,-3.9023056,56800,,41297096,26932902,.11209439,.07846608,.068436578,.041297935,32.552544,9.0477476,0,5.6338024,4.9295774,27.905994,36.821186,0
1784,Ancilla Domini College,Midwest,IN,Indiana,13600,South Bend,18099,Marshall,46513,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Private Non-profit,Two-year,Private,Missing,1389.2068,4671.7852,0,0,0,13730,5570,4.2766366,.23931624,3819.3127,32920.699,,,14637,,29200,,2085376,956949.94,.0042283298,.027484143,.031712472,.0063424949,3.2851222,25.749956,1.3888888,29.166666,9.7222223,15.048151,14.68996,0
1785,"Anderson University of Anderson, IN",Midwest,IN,Indiana,14000,Muncie,18095,Madison,46012,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,5259.7524,6878.5107,0,0,0,26850,14680,3.1994042,.55911332,6392.1226,44253.172,1029.0352,,20389,4.4202676,35900,,17189000,10300995,.00430622,.042583734,.0081339711,.0090909088,9.4835005,20.673019,6.4705882,2.647059,14.705882,7.3702621,32.241589,0
3418,"Anderson University of Anderson, SC",South,SC,South Carolina,8300,Greenville,45007,Anderson,29621,Nonselective four-year private not-for-profit,Nonselective four-year private not-for-profit,Private Non-profit,Four-year,Private,Missing,2380.5698,4113.9473,0,0,0,23750,10805,1.6939465,.41666666,6403.1802,40670.379,1011.5244,1000.5,15131,.56821144,32800,,10377856,2932986.8,.0092989989,.12017167,.0064377682,.0078683831,20.546642,32.534782,1.2820513,12.179487,0,.57333016,27.013073,0
2238,Andrews University,Midwest,MI,Michigan,13600,South Bend,26021,Berrien,49104,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,9097.4609,9362.0361,0,0,0,26262,12916,-1.9575151,.48951048,4961.4209,36118.547,1069.8257,1020,16210,-.56244427,36000,,30487906,24634372,.088709675,.20276497,.087557606,.14112903,21.126001,11.911398,14.871795,1.0256411,4.6153846,32.0872,16.651264,1.5384617
6661,Angelina College,South,TX,Texas,32201,Huntsville,48005,Angelina,75902,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2060.2207,2425.0649,0,0,0,3330,723,-1.1509039,.077834181,5329.311,43597.184,,,5372,,26900,687.94177,12552969,9073669,.0077062557,.14551224,.080009066,0,3.940119,15.378995,36.363636,6.060606,13.636363,15.067717,6.5357504,10.60606
3541,Angelo State University,South,TX,Texas,32301,San Angelo,48451,Tom Green,76909,Selective public,Selective public,Public,Four-year,Public,Selective,3093.2307,5328.438,0,0,0,6702,1942,3.9382467,.36031333,6874.5361,48529.977,962.36078,1005,9452,-5.4295468,38000,9269.1758,43654452,20510404,.01039321,.051966049,.195912,.011778971,14.927167,18.404961,9.4036694,1.3761468,.3440367,16.205591,48.98008,0
2117,Anna Maria College,Northeast,MA,Massachusetts,20500,Boston,25027,Worcester,1612,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2670.2034,4694.9312,0,0,0,34060,14645,.13915931,.54464287,3550.696,27600.441,,950,20412,-1.2505279,42400,,5934327,3325918.8,.016311167,.027603513,.03136763,.015056462,2.3191581,22.513514,11.386139,2.4752476,49.009899,-3.6512952,5.7337685,0
2058,Anne Arundel Community College,South,MD,Maryland,11302,Baltimore,24003,Anne Arundel,21012,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2252.5859,3843.2512,0,0,0,6650,3694,-1.4510248,.17057569,6770.8203,55528.168,,,12448,,38800,198.76434,64188616,29938320,.029419268,.11631664,.022957232,.0073123034,4.2319427,19.647614,12.816189,46.205734,4.5531197,4.3535123,-1.5502577,4.2158518
1113,Antelope Valley College,West,CA,California,38300,Los Angeles,6037,Los Angeles,93536,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1970.7521,2083.0981,0,0,0,1104,330,-.3636167,.43269232,8472.9746,60043.426,,,5395,,27000,,29940104,18644828,.0560349,.14561318,.21289384,0,.73858362,16.7635,11.747851,46.131805,3.5816619,4.0980864,-.068272561,9.169054
24,Anthem College And The Bryman School Of Arizona,West,AZ,Arizona,35001,Phoenix,4013,Maricopa,85014,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,4742.8838,1969.3519,1,0,0,,,3.5555532,.54461843,3627.6899,20591.787,,,25689.775,,27638.09,,8808808,9063054,.028368793,.22466254,.24090597,0,-2.5449741,.10764335,68.862541,0,0,21.444845,4.1167889,10.057093
111,Anthem Institute,Northeast,NJ,New Jersey,19600,Newark,34017,Hudson,7306,Less than two-year schools of any type,Less than two-year schools of any type,Private For-profit,Less than Two-year,Private,Missing,4411.7344,2699.0811,1,0,0,,,-2.9552863,.47619048,4316.5615,21702,,,25091.047,,47330.859,,1625179.4,1461352,.10302321,.10376459,.097768784,.019081859,1.0988945,-3.4385459,0,0,.14550745,96.54892,1.4754081,.4001455
12891,Antonelli College,South,MS,Mississippi,3003,Jackson,28121,Rankin,39232,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,3404.2507,27655.375,0,0,0,15980,8236.7588,-2.7270069,.61783439,3732.7517,19679.963,,,22153.051,,22700,,4659753,1348753,.0079051387,.46508563,.0052700923,.0079051387,28.008923,1.898689,20.812183,0,0,28.589853,25.842447,0
