super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
1692,Illinois State University,Midwest,IL,Illinois,23400,Bloomington,17113,McLean,61790,Selective public,Selective public,Public,Four-year,Public,Selective,3977.6509,8688.9492,0,0,0,12802,4336,.63528985,.57271469,7664.998,54597.961,,,11205,-1.8962926,45100,1706.2312,165739872,103320464,.015811373,.067128986,.022191402,.0075450763,8.6455622,23.601271,4.6191645,2.8255529,6.9533172,8.3876543,43.791702,0
1705,Illinois Valley Community College,Midwest,IL,Illinois,23900,Peoria,17099,La Salle,61348,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,1291.4121,2789.7507,0,0,0,9733,4839,1.6489848,.34750462,7338.2817,46326.695,,,5663,,28600,,12766115,7525553,.0092250919,.022403795,.04032683,.00052714814,.64350998,15.847877,25.076923,46.153847,1.6923077,4.3620067,.055562351,8.7692308
1696,Illinois Wesleyan University,Midwest,IL,Illinois,23400,Bloomington,17113,McLean,61702,Highly selective private,Highly selective private,Private Non-profit,Four-year,Private,Highly Selective,17061.363,13828.002,0,0,0,40844,20410,-.67124933,.83277029,7853.6089,56519.289,1271.2076,1260,19342,11.43151,54600,,27615412,35679552,.032560434,.029600395,.018253576,.025160335,25.014771,20.714876,5.7803469,1.5414258,0,18.278919,29.587706,0
3276,Immaculata University,Northeast,PA,Pennsylvania,19700,Philadelphia,42029,Chester,19345,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2802.1318,3993.7341,0,0,0,30148,13950,4.7946835,.50495052,5128.0654,39718.73,962.65588,995,23398,-3.1185405,49000,,16178735,7534796,.016136263,.094576426,.017480951,.020170327,7.1781969,52.859154,17.506632,3.1830239,2.3872681,4.3200088,12.582378,0
1214,Imperial Valley College,West,CA,California,38100,Yuma,6025,Imperial,92251,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2013.4865,1986.5649,0,0,0,1327,,.48570248,.46355686,6032.9146,,,,2916,,24500,108.80257,16589486,16933872,.016531365,.011365314,.84339482,.0019188192,3.0592113,27.860636,21.814672,13.706563,6.5637064,2.4047709,27.213566,.96525097
1924,Independence Community College,Midwest,KS,Kansas,29403,Bartlesville,20125,Montgomery,67301,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,808.41968,2585.865,0,0,0,2960,1458,-.70366836,.33480176,4868.1528,37016.934,,,3107,,24500,,2804408,947950,.011363637,.099650353,.020979021,.027097901,5.660944,28.809483,3.0075188,33.834587,1.5037594,16.290497,11.250473,0
8403,Indian Hills Community College,Midwest,IA,Iowa,22300,Ottumwa,19179,Wapello,52501,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,3848.3743,5116.0469,0,0,0,3720,1920,.39242533,.54758418,5562.1943,39603.074,,,9443,,31500,355.06985,25216128,13332793,.0077455048,.0096818814,.0088520059,.011341632,-.25402832,18.401693,15.084745,30.169491,2.4576271,15.644574,1.2570485,22.118645
1493,Indian River State College,South,FL,Florida,7100,Port St. Lucie,12111,St Lucie,34981,Nonselective four-year public,Nonselective four-year public,Public,Four-year,Public,Missing,2140.1526,2868.5208,0,0,0,2764,1440,,.42526963,8037.8037,57546.59,,,1321,,28700,,47877204,29341664,.013044138,.12172001,.05111482,.010617321,1.8579346,10.202914,24.089178,33.659599,17.074495,2.3184226,-.62475878,12.45242
1805,Indiana Institute Of Technology,Midwest,IN,Indiana,14100,Fort Wayne,18003,Allen,46803,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,2031.7191,2416.6582,0,0,0,24860,13648,-7.6330266,.87969923,6965.7021,46442,940.22168,,22121,-2.3049035,41100,,11233532,3854041.5,.0034113061,.089181289,.013157895,.0053606238,.25906441,88.036331,2.0066891,0,0,9.6018715,1.3373244,0
1807,Indiana State University,Midwest,IN,Indiana,14400,Terre Haute,18167,Vigo,47809,Selective public,Selective public,Public,Four-year,Public,Selective,5064.6206,6023.8574,0,0,0,8416,3564,4.4841423,.37661639,7072.1445,51604.477,913.83496,930,8220,1.0517534,36000,79.86911,69195936,57584284,.006605851,.10978295,.010904897,.025689419,8.7645283,13.102847,8.5381632,9.2496767,.84087968,22.704004,38.187363,2.9107373
